Condition,Subcondition,Progress Note (P) or Handover Checklist (H),Line,Text
Delirium,Delirium,P,12,Last CT Head - date & findings:
Delirium,Delirium,P,13,Plan:
Delirium,Delirium,H,1,@Drugs and recent changes:
Delirium,Delirium,H,2,@Infectious Work-up:
Delirium,Delirium,H,3,@Urine: Foley Catheter Y or N. Urinary Symptoms: Y or N. UA and C&S Results
Delirium,Delirium,H,4,@GI: Diarrhea Y N. Other symptoms:
Delirium,Delirium,H,5,@CXR if Resp Symptoms:
Delirium,Delirium,H,6,@Metabolic/Lyte abnormalities:
Delirium,Delirium,H,7,@Neuro Exam and CT head Findings:
Stroke,Stroke Management Plan,P,1,Location of Stroke:
Stroke,Stroke Management Plan,P,2,Type: Ischemic or Hemorrhagic
Stroke,Stroke Management Plan,P,3,Symptoms:
Stroke,Stroke Management Plan,P,4,Initial CT Head:
Stroke,Stroke Management Plan,P,5,Repeat CT Head:
Stroke,Stroke Management Plan,P,6,MRI:
Stroke,Stroke Management Plan,P,7,Carotid Doppler:
Stroke,Stroke Management Plan,P,8,Hx of A.Fib:
Stroke,Stroke Management Plan,P,9,ECG and/or Holter Monitor:
Stroke,Stroke Management Plan,P,10,SLP Assessment:
Stroke,Stroke Management Plan,P,11,Anti-Plt agents:
Stroke,Stroke Management Plan,P,12,Lipid Controlling Meds:
Stroke,Stroke Management Plan,P,13,Rehab Plan:
Stroke,Stroke Management Plan,P,14,DVT Prevention:
Alcohol Withdrawal,Alcohol Withdrawal,P,1,Profile:
Alcohol Withdrawal,Alcohol Withdrawal,P,2,$Regular EtOH consumption:_
Alcohol Withdrawal,Alcohol Withdrawal,P,3,$CAGE:
Alcohol Withdrawal,Alcohol Withdrawal,P,4,$Legal consequences regarding EtOH (e.g. driving):_
Alcohol Withdrawal,Alcohol Withdrawal,P,5,$Past withdrawl seizures: Y or N
Alcohol Withdrawal,Alcohol Withdrawal,P,6,$Any recurrent arrhythmias:_
Alcohol Withdrawal,Alcohol Withdrawal,P,7,Time of Last Drink:_
Alcohol Withdrawal,Alcohol Withdrawal,P,8,Alcohol Level:_
Alcohol Withdrawal,Alcohol Withdrawal,P,9,Circle if any signs of Wernicke's Encephalopathy: Nystagmus/CN6 palsy or Ataxia or Confusion
Alcohol Withdrawal,Alcohol Withdrawal,P,10,Any signs of Korsakoff's Syndrome: Y or N
Alcohol Withdrawal,Alcohol Withdrawal,P,11,Management:
Alcohol Withdrawal,Alcohol Withdrawal,P,12,$Benzodiazepine: 
Alcohol Withdrawal,Alcohol Withdrawal,P,13,$$Diazepam or Lorazepam at Dose:_
Alcohol Withdrawal,Alcohol Withdrawal,P,14,$$Any Recent Benzos PRN Given:
Alcohol Withdrawal,Alcohol Withdrawal,P,15,$Circle if given: Thiamine / Folate / MultiVit
Alcohol Withdrawal,Alcohol Withdrawal,P,16,$If Hallucinations (Y or N) - Consider Haloperidol w/ Benzo prophylaxis
Alcohol Withdrawal,Alcohol Withdrawal,P,17,$If Signs of Korsakoff's; increase thiamine to 100mg BID or TID for 3-12 mon
.................................,,,,
Endocrinology,Endocrinology,P,1,
................................,,,,
Diabetes,Type One (T1DM) Profile,P,1,Follows-up with Dr._
Diabetes,Type One (T1DM) Profile,P,2,Date Diagnosed:
Diabetes,Type One (T1DM) Profile,P,3,Home Insulin Regiment:_
Diabetes,Type One (T1DM) Profile,P,4,Last A1C:_ Date:_
Diabetes,Type One (T1DM) Profile,P,5,Complications:
Diabetes,Type One (T1DM) Profile,P,6,$Retinopahty: Y or N. Date of Last Ophto Appt:_
Diabetes,Type One (T1DM) Profile,P,7,$Nephropathy: Y or N. Baseline eGFR:_ Alb/Cr:_
Diabetes,Type One (T1DM) Profile,P,8,$Neuropathy: Y or N. Symptoms:_
Diabetes,Type One (T1DM) Profile,P,9,Lowest Sugar Reading:_ Date:_
Diabetes,Type One (T1DM) Profile,P,10,Symptoms when hypoglycemic
Diabetes,Type One (T1DM) Profile,P,11,Last DKA episode:
Diabetes,Type One (T1DM) Profile,P,12,DM Healthcare support:
Diabetes,Type Two (T2DM) Profile,P,1,Date Diagnosed:
Diabetes,Type Two (T2DM) Profile,P,2,Last A1C:_ Date:_
Diabetes,Type Two (T2DM) Profile,P,3,Home Regiment:_
Diabetes,Type Two (T2DM) Profile,P,4,Complications:
Diabetes,Type Two (T2DM) Profile,P,5,$Retinopahty: Y or N. Date of Last Ophto Appt:_
Diabetes,Type Two (T2DM) Profile,P,6,$Nephropathy: Y or N. Baseline eGFR:_ Alb/Cr:_
Diabetes,Type Two (T2DM) Profile,P,7,$Neuropathy: Y or N. Symptoms:_
Diabetes,Type Two (T2DM) Profile,P,8,CVS Risk factors:_
Diabetes,Type Two (T2DM) Profile,P,9,Lowest Sugar Reading:_ Date:_
Diabetes,Type Two (T2DM) Profile,P,10,Symptoms when hypoglycemic
Diabetes,Type Two (T2DM) Profile,P,11,DM Healthcare support:
Obesity,Obesity,P,1,Wt:_ BMI:_
Dyslipidemia,Dyslipidemia,P,1,Last lipid Panel:_______
Dyslipidemia,Dyslipidemia,P,2,Past Major CVS Event: Y or N
Dyslipidemia,Dyslipidemia,P,3,Framingham Risk:__
Dyslipidemia,Dyslipidemia,P,4,Agent:
Hyperthyroidism,Thyroid Storm,P,1,Past Thyroid Dx:_
Hyperthyroidism,Thyroid Storm,P,2,Follows-up with Dr._
Hyperthyroidism,Thyroid Storm,P,3,Burch-Wartofsky Point Scale:
Hyperthyroidism,Thyroid Storm,P,4,TSH:___ fT3___ fT4___
Hyperthyroidism,Thyroid Storm,P,5,Symptoms:
Hyperthyroidism,Thyroid Storm,P,6,Management:
Hyperthyroidism,Thyroid Storm,P,7,$Propylthiouracil:
Hyperthyroidism,Thyroid Storm,P,8,$Iodine (KI or lugol's solution): given 1 h AFTER PTU dose
Hyperthyroidism,Thyroid Storm,P,9,$Glucocorticoids: Hydrocortisone 100mg IV q8h or Dexamethasone 2mg IV q6h
Hyperthyroidism,Thyroid Storm,P,10,$Propanolol:_
Hyperthyroidism,Thyroid Storm,P,11,$Cooling blankets
Hyperthyroidism,Thyroid Storm,P,12,Investigation for associated conditions:
Hyperthyroidism,Thyroid Storm,P,13,$Sepsis: WBC:___ UA:_______ Blood cultures: Date drawn:____ Results:_
Hyperthyroidism,Thyroid Storm,P,14,$Trop:__ CK:___
Hyperthyroidism,Thyroid Storm,P,15,$DKA: Glucose:__
Hyperthyroidism,Thyroid Storm,P,16,"$Any recent trauma, radioiodine therapy, or iodine load?"
Hyperthyroidism,Thyroid Storm,P,17,%Vitals
Hyperthyroidism,Thyroid Storm,P,18,%In's And Out's
Hyperthyroidism,Thyroid Storm,P,19,%CVS1
Hyperthyroidism,Thyroid Storm,P,20,%CVS2
Hyperthyroidism,Thyroid Storm,P,21,%Pulmonary1
Hyperthyroidism,Thyroid Storm,P,22,%Pulmonary2
Hyperthyroidism,Thyroid Storm,P,23,%Pulmonary3
Hyperthyroidism,Thyroid Storm,H,1,"Check fT3, fT4"
Hyperthyroidism,Thyroid Storm,H,2,Titrating PTU or MMI
Hyperthyroidism,Thyroid Storm,H,3,Recieving Iodine solution 1h after anti-thyroid med
Hyperthyroidism,Thyroid Storm,H,4,Titrate Glucocorticoid
Hyperthyroidism,Thyroid Storm,H,5,Titrate Propanolol
Hyperthyroidism,Thyroid Storm,H,6,On cooling blankets
Hyperthyroidism,Thyroid Storm,H,7,Work-up for potential etiology
Hyperthyroidism,Thyroid Storm,H,8,@Consult Endocrinology
Adrenal Insufficiency,Adrenal Crisis,P,1,Symptoms:
Adrenal Insufficiency,Adrenal Crisis,P,2,Fluids:
Adrenal Insufficiency,Adrenal Crisis,P,3,Testing
Adrenal Insufficiency,Adrenal Crisis,P,4,$8AM Cortisol:
Adrenal Insufficiency,Adrenal Crisis,P,5,$ACTH Stim Test results:
Adrenal Insufficiency,Adrenal Crisis,P,6,$Renin/Aldo ratio: 
Adrenal Insufficiency,Adrenal Crisis,P,7,Maintenance:
Adrenal Insufficiency,Adrenal Crisis,P,8,$Hydrocortisone: 15-25mg / day divided BID or QID
Adrenal Insufficiency,Adrenal Crisis,P,9,$Note: Hydrocortisone to be given post testing
Adrenal Insufficiency,Adrenal Crisis,P,10,$After steroids started: Florinef 0.5-2mg PO Daily
Adrenal Insufficiency,Adrenal Crisis,P,11,$AM Renin:
Adrenal Insufficiency,Adrenal Crisis,P,12,"Education: Med Alert bracelet, stress dosing"
Adrenal Insufficiency,Adrenal Crisis,P,13,%Vitals
Adrenal Insufficiency,Adrenal Crisis,P,14,%In's And Out's
Adrenal Insufficiency,Adrenal Crisis,P,15,%Fluid Status1
Adrenal Insufficiency,Adrenal Crisis,P,16,%Fluid Status2
Adrenal Insufficiency,Adrenal Crisis,P,15,%Lytes
Adrenal Insufficiency,Adrenal Crisis,H,1,Check Lytes
Adrenal Insufficiency,Adrenal Crisis,H,2,Monitor BP
Adrenal Insufficiency,Adrenal Crisis,H,3,@Consult Endo
Adrenal Insufficiency,Adrenal Crisis,H,4,@Test to confirm adrenal insufficiency
Adrenal Insufficiency,Adrenal Crisis,H,5,@Start Hydrocoritsone after test conducted
Adrenal Insufficiency,Adrenal Crisis,H,6,@Teaching / Med Alert Bracelet
Hypercalcemia,Acute Treatment,P,1,Suspected Etiology:
Hypercalcemia,Acute Treatment,P,2,Symptoms:
Hypercalcemia,Acute Treatment,P,3,Investigations:
Hypercalcemia,Acute Treatment,P,4,$Today's: Corrected Ca:__
Hypercalcemia,Acute Treatment,P,5,$Onset: Serum Ca:___ Albumin___ Corrected Ca:___ . Ionized Ca:___ 
Hypercalcemia,Acute Treatment,P,6,$PTH:___ PTH-rP:___ 25VitD:___ ALP:___
Hypercalcemia,Acute Treatment,P,7,$24h Urine Ca:___ . Mg:__
Hypercalcemia,Acute Treatment,P,8,$Imaging
Hypercalcemia,Acute Treatment,P,9,Management:
Hypercalcemia,Acute Treatment,P,10,$Check if Meds should be held e.g: Thiazides . Antacids . VitD . Li . VitA . Theophylline . Teriparatide . Estrogen or Progestins . Androgens
Hypercalcemia,Acute Treatment,P,11,$Fluids:
Hypercalcemia,Acute Treatment,P,12,$Bisphosphonate:
Hypercalcemia,Acute Treatment,P,13,$Other meds: None . Loop diuretics . Glucocorticoids . 
Hypercalcemia,Acute Treatment,P,14,%Vitals
Hypercalcemia,Acute Treatment,P,15,%CVS1
Hypercalcemia,Acute Treatment,P,16,%CVS2
Hypercalcemia,Acute Treatment,P,17,%Pulmonary1
Hypercalcemia,Acute Treatment,P,18,%Pulmonary2
Hypercalcemia,Acute Treatment,P,19,%Pulmonary3
Hypercalcemia,Acute Treatment,P,20,%Fluid Status1
Hypercalcemia,Acute Treatment,P,21,%Fluid Status2
Hypercalcemia,Acute Treatment,P,22,%ExtendedLytes
Hypercalcemia,Acute Treatment,P,23,%ECG1
Hypercalcemia,Acute Treatment,P,24,%ECG2
Hypercalcemia,Acute Treatment,H,1,Corrected Ca
Hypercalcemia,Acute Treatment,H,2,@Suspected Etiology:
Hypercalcemia,Acute Treatment,H,3,@Fluid Resusitated
Hypercalcemia,Acute Treatment,H,4,@Given Bisphosphonate
Hypercalcemia,Acute Treatment,H,5,@Other Meds given:
Hypercalcemia,Acute Treatment,H,6,@Investigations to be done:
...............................,,,,
Gastroenterology,Gastroenterology,P,1,
..............................,,,,
GI Bleed,GI Bleed,P,1,Symptoms: Melena vs Vomiting blood vs Frank Bleed
GI Bleed,GI Bleed,P,2,Any Abdo Pain:____ 
GI Bleed,GI Bleed,P,3,Postural Vitals________ .  BUN/SCr Ratio:____
GI Bleed,GI Bleed,P,4,Profile:
GI Bleed,GI Bleed,P,5,$Use of NSAIDs or Anti-Plt or Anticoagulation agents
GI Bleed,GI Bleed,P,6,$Hx of CAD: Y or N  ; Hx of Liver Disease or excessive EtOH use: Y or N
GI Bleed,GI Bleed,P,7,Management:
GI Bleed,GI Bleed,P,8,$Hgb Trend:____________  SCr:
GI Bleed,GI Bleed,P,9,$Consent for transfusion: Y or N
GI Bleed,GI Bleed,P,10,$Fluid Resuscitation:
GI Bleed,GI Bleed,P,11,$Anti-coagulation Reversal Agent (if needed):
GI Bleed,GI Bleed,P,12,$Meds: Panto _____   If Varices Suspected: Octreotide:____ SBP Proph:________ Day__
GI Bleed,GI Bleed,P,13,Endoscopy
GI Bleed,GI Bleed,P,14,%Vitals
GI Bleed,GI Bleed,P,15,%CVS1
GI Bleed,GI Bleed,P,16,%CVS2
GI Bleed,GI Bleed,P,17,%JVP
GI Bleed,GI Bleed,P,18,%Fluid Status1
GI Bleed,GI Bleed,P,19,%Fluid Status2
GI Bleed,GI Bleed,P,20,%In's And Out's
GI Bleed,GI Bleed,P,21,%Abdo
GI Bleed,GI Bleed,H,1,Signs of Bleeding
GI Bleed,GI Bleed,H,2,Hgb
GI Bleed,GI Bleed,H,3,SCr
GI Bleed,GI Bleed,H,4,@Adjust Panto
GI Bleed,GI Bleed,H,5,@If Varices: Octreotide and SBP Proph
GI Bleed,GI Bleed,H,6,@Endoscopy
GI Bleed,GI Bleed,H,7,#Follow-up with:
IBD Management,Inpatient Flare,P,1,Type of IBD: UC or Crohn's or Unknown
IBD Management,Inpatient Flare,P,2,Symptoms:
IBD Management,Inpatient Flare,P,3,Extra-intestinal Manifestations:
IBD Management,Inpatient Flare,P,4,Last Endoscopy:
IBD Management,Inpatient Flare,P,5,Home IBD Agents:
IBD Management,Inpatient Flare,P,6,Routine Investigations:
IBD Management,Inpatient Flare,P,7,$Hgb Trend:
IBD Management,Inpatient Flare,P,8,$C.Diff Test:
IBD Management,Inpatient Flare,P,9,$TB Test (Mantoux CXR or other):
IBD Management,Inpatient Flare,P,10,$Baseline AXR or CT Scan:
IBD Management,Inpatient Flare,P,11,$Plan for Endoscopy:
IBD Management,Inpatient Flare,P,12,Plan:
IBD Management,Inpatient Flare,P,13,$Consult GI
IBD Management,Inpatient Flare,P,14,$Fluid Resuscitation
IBD Management,Inpatient Flare,P,15,$DVT-proph: Y or N
IBD Management,Inpatient Flare,P,16,$Therapy:_ Day_
IBD Management,Inpatient Flare,P,17,%Vitals
IBD Management,Inpatient Flare,P,18,%CVS1
IBD Management,Inpatient Flare,P,19,%CVS2
IBD Management,Inpatient Flare,P,20,%JVP
IBD Management,Inpatient Flare,P,21,%Fluid Status1
IBD Management,Inpatient Flare,P,22,%Fluid Status2
IBD Management,Inpatient Flare,P,23,%In's And Out's
IBD Management,Inpatient Flare,P,24,%Abdo
Liver Disease,Elevated Enzymes,P,1,Suspected Etiology:
Liver Disease,Elevated Enzymes,P,2,Pattern: Hepatocellular . Cholestasis . Mixed . Other:_
Liver Disease,Elevated Enzymes,P,3,Investigations:
Liver Disease,Elevated Enzymes,P,4,$Autoimmune: ANA__ ASMA__ IgG
Liver Disease,Elevated Enzymes,P,5,$PBC: AMA__ IgM
Liver Disease,Elevated Enzymes,P,6,$IgA__ EtOH History:
Liver Disease,Elevated Enzymes,P,7,$Tylenol level:
Liver Disease,Elevated Enzymes,P,8,$Hepatitis Serology panel:
Liver Disease,Elevated Enzymes,P,9,$CMV IgM__  EBV IgM___
Liver Disease,Elevated Enzymes,P,10,$Ferritin___ FeSat___
Liver Disease,Elevated Enzymes,P,11,Liver U/S:__
Liver Disease,Elevated Enzymes,P,12,%LiverEnzymes
Liver Disease,Elevated Enzymes,P,13,%Abdo
Liver Disease,Elevated Enzymes,P,14,%CLD
Liver Disease,Elevated Enzymes,P,15,%Ascites
Liver Disease,Liver Failure,P,1,%Abdo
Liver Disease,Liver Failure,P,2,%Ascites
Liver Disease,Liver Failure,P,3,%CLD
Liver Disease,Liver Failure,P,4,%LiverEnzymes
Liver Disease,Liver Failure,P,5,%CBC
Liver Disease,Liver Failure,P,6,%Lytes
Liver Disease,Liver Failure,P,7,Suspected Etiology:
Liver Disease,Liver Failure,P,8,MELD Score:___  CP Score:___
Liver Disease,Liver Failure,P,9,Fibroscan:___  Liver U/S:__
Liver Disease,Liver Failure,P,10,Last EGD For Varices:_____________ Hx of SBP: Y or N
Liver Disease,Ascites,P,1,Daily Weights:_____ . Salt Restricted diet ordered: Y or N
Liver Disease,Ascites,P,2,Diuretics doses (5:2 ratio): ______ / ______
Liver Disease,Ascites,P,3,Monitor for Side-effects: BP:___ SCr:___ Electrolyte abnormalities:___
Liver Disease,Ascites,P,4,Any signs/symptoms of infection/SBP?
Liver Disease,Ascites,P,5,%LiverEnzymes
Liver Disease,Ascites,P,6,%Abdo
Liver Disease,Ascites,P,7,%CLD
Liver Disease,Ascites,H,1,Weight
Liver Disease,Ascites,H,2,SCr
Liver Disease,Ascites,H,3,BP
Liver Disease,Ascites,H,4,Signs of SBP
Liver Disease,Ascites,H,5,@Mangement Plan:
Liver Disease,Ascites with recent Paracentesis,P,1,Daily Weights:_____ . Salt Restricted diet ordered: Y or N
Liver Disease,Ascites with recent Paracentesis,P,2,Diuretics (spironolactone/lasix at 5/2 ratio)
Liver Disease,Ascites with recent Paracentesis,P,3,Monitor for Side-effects: BP:___ SCr:___ Electrolyte abnormalities:___
Liver Disease,Ascites with recent Paracentesis,P,4,Paracentesis: 
Liver Disease,Ascites with recent Paracentesis,P,5,$Date____ Amount drained:___ Albumin given post procedure:___ Any complications:___
Liver Disease,Ascites with recent Paracentesis,P,6,$SAAG:___ Ascites albumin:___
Liver Disease,Ascites with recent Paracentesis,P,7,$ANC___ . Glucose___  Gram stain___
Liver Disease,Ascites with recent Paracentesis,P,8,$Any maligant cells: Y or N
Liver Disease,Ascites with recent Paracentesis,P,9,%LiverEnzymes
Liver Disease,Ascites with recent Paracentesis,P,10,%Abdo
Liver Disease,Ascites with recent Paracentesis,P,11,%CLD
Liver Disease,Ascites with recent Paracentesis,H,1,Weight
Liver Disease,Ascites with recent Paracentesis,H,2,SCr
Liver Disease,Ascites with recent Paracentesis,H,3,BP
Liver Disease,Ascites with recent Paracentesis,H,4,Signs of SBP
Liver Disease,Ascites with recent Paracentesis,H,5,@Management Plan:
Liver Disease,Ascites with recent Paracentesis,H,6,@If considering TIPS: MELD___ INR___ Bili__ HE_____ U/S:_________ Echo________
Liver Disease,Hepatic Encephalopathy,P,1,Grade of Encephalopathy:___ Any asterixis:__
Liver Disease,Hepatic Encephalopathy,P,2,Medications to Tx HE:
Liver Disease,Hepatic Encephalopathy,P,3,Any BM with Lactulose:
Liver Disease,Hepatic Encephalopathy,P,4,%LiverEnzymes
Liver Disease,Hepatic Encephalopathy,P,5,%Abdo
Liver Disease,Hepatic Encephalopathy,P,6,%CLD
Liver Disease,Hepatic Encephalopathy,H,1,Grade of Encephalopathy
Liver Disease,Hepatic Encephalopathy,H,2,Having BM
.............................,,,,
Hematology,Hematology,P,1,
............................,,,,
DVT Prophlyaxis,DVT-P for Acutely ill hospital patient,P,1,Wt:_ (<40kg or >100kg adjust dose) and B-HCG:_
DVT Prophlyaxis,DVT-P for Acutely ill hospital patient,P,2,Renal Impairment (CrCl<30): Y or N or Unknown ; if yes - consider UFH
DVT Prophlyaxis,DVT-P for Acutely ill hospital patient,P,3,Agent: Subcut LMWH or UFH or already on anticoagulation
DVT Prophlyaxis,DVT-p for malignancy with no renal impairment (CrCl>30),P,1,Wt:_ CrCl:_
DVT Prophlyaxis,DVT-p for malignancy with no renal impairment (CrCl>30),P,2,LMWH agent:
DVT Prophlyaxis,DVT-p - malignancy with renal impairment (CrCl<30),P,1,Wt:_ CrCl:_
DVT Prophlyaxis,DVT-p - malignancy with renal impairment (CrCl<30),P,2,Options:
DVT Prophlyaxis,DVT-p - malignancy with renal impairment (CrCl<30),P,3,$1) Tinzaparin if CrCl 20-30
DVT Prophlyaxis,DVT-p - malignancy with renal impairment (CrCl<30),P,4,$2) Target dose with trough Anti-Xa levels >0.4 IU/mL
DVT Prophlyaxis,DVT-p - malignancy with renal impairment (CrCl<30),P,5,$3) Empiric adjustment based on patient's priorities of care
DVT Prophlyaxis,DVT-p - malignancy with renal impairment (CrCl<30),P,6,$4) Consult hematology
DVT Treatment,Deep Vein Thrombosis,P,1,Wt:__ CrCl___ B-HCG:_
DVT Treatment,Deep Vein Thrombosis,P,2,Profile: Provoked or Unprovoked or Unknown
DVT Treatment,Deep Vein Thrombosis,P,3,$Past DVT: Y or N
DVT Treatment,Deep Vein Thrombosis,P,4,$Risk Factors
DVT Treatment,Deep Vein Thrombosis,P,5,$Investigations:_
DVT Treatment,Deep Vein Thrombosis,P,6,$U/S of limb:
DVT Treatment,Deep Vein Thrombosis,P,7,Tx Start Date:____ Agent: Subcut LMWH or UFH or Warfarin or DOAC
DVT Treatment,Deep Vein Thrombosis,P,8,Follow-up MD:_
DVT Treatment,Deep Vein Thrombosis,H,1,@U/S of limb:
DVT Treatment,Deep Vein Thrombosis,H,2,@Tx Start Date:____ Agent: Subcut LMWH or UFH or DOAC
DVT Treatment,Deep Vein Thrombosis,H,3,#Follow-Up MD:_
............................,,,,
Rhabdomyolysis,Rhabdomyolysis,P,1,CK Trend: ___ -> ___ -> ____
Rhabdomyolysis,Rhabdomyolysis,P,2,Urine Myoglobin:
Rhabdomyolysis,Rhabdomyolysis,P,3,Etiology:
Rhabdomyolysis,Rhabdomyolysis,P,4,Hold Meds that trigger rhabdo:
Rhabdomyolysis,Rhabdomyolysis,P,5,IV Access:
Rhabdomyolysis,Rhabdomyolysis,P,6,Presence and Plan Regarding Any Complications:
Rhabdomyolysis,Rhabdomyolysis,P,7,$Fluids Resusitation:
Rhabdomyolysis,Rhabdomyolysis,P,8,$Electrolyte Abnormalities:
Rhabdomyolysis,Rhabdomyolysis,P,9,$$Hyperkalemia
Rhabdomyolysis,Rhabdomyolysis,P,10,$$HypoCa
Rhabdomyolysis,Rhabdomyolysis,P,11,$$Other:
Rhabdomyolysis,Rhabdomyolysis,P,12,$Acidosis:
Rhabdomyolysis,Rhabdomyolysis,P,13,$Renal Failure: SCr=____ Baseline SCr____
Rhabdomyolysis,Rhabdomyolysis,P,14,$Hepatic Failure:
Rhabdomyolysis,Rhabdomyolysis,P,15,$Arrhythmias:
Rhabdomyolysis,Rhabdomyolysis,P,16,$Compartment Syndrome Symptoms:
Rhabdomyolysis,Rhabdomyolysis,P,17,$Dialysis Required:
Rhabdomyolysis,Rhabdomyolysis,P,18,%Vitals
Rhabdomyolysis,Rhabdomyolysis,P,19,%JVP
Rhabdomyolysis,Rhabdomyolysis,P,20,%Fluid Status1
Rhabdomyolysis,Rhabdomyolysis,P,21,%Fluid Status2
Rhabdomyolysis,Rhabdomyolysis,P,22,%In's And Out's
Rhabdomyolysis,Rhabdomyolysis,P,23,%CBC
Rhabdomyolysis,Rhabdomyolysis,P,24,%ExtendedLytes
Rhabdomyolysis,Rhabdomyolysis,P,25,%Coags
Rhabdomyolysis,Rhabdomyolysis,P,26,%LiverEnzymes
Rhabdomyolysis,Rhabdomyolysis,P,27,%ECG1
Rhabdomyolysis,Rhabdomyolysis,P,28,%ECG2
Rhabdomyolysis,Rhabdomyolysis,P,29,%ABG
